bu_code,price_2014,price_2020
BU03633903,2.310166666666667,4.66775
BU03634000,3.594333333333333,6.83475
BU03634001,3.7586,7.335
BU03634002,3.7996666666666665,6.83475
BU03634100,3.697,6.83475
BU03634101,3.697,7.335
BU03634102,3.389,7.335
BU03634200,3.388833333333333,6.83475
BU03634201,3.6353999999999997,7.890000000000001
BU03634202,3.697,7.335
BU03634203,3.7996666666666665,7.335
BU03634300,3.594333333333333,8.1675
BU03634301,4.005,7.335
BU03634400,4.3746,8.1675
BU03634401,4.3746,8.1675
BU03634402,4.313000000000001,8.1675
BU03634403,4.005,8.1675
BU03634404,4.005,8.1675
BU03634405,3.697,7.335
BU03634500,4.929,8.1675
BU03634501,4.2514,7.890000000000001
BU03634600,5.853,9.25
BU03634601,5.108666666666667,8.445
BU03634602,5.373888888888889,8.945
BU03634603,5.545,9.5
BU03634700,5.668200000000001,8.1675
BU03634701,5.853000000000001,9.5
BU03634702,5.493666666666667,9.666666666666666
BU03634703,5.887222222222222,9.5
BU03634704,5.9685,9.0
BU03634705,4.826333333333333,8.4175
BU03634706,5.017,7.890000000000001
BU03634708,5.545,9.5
BU03634709,5.93,8.1675
BU03634800,4.159,8.1675
BU03634801,4.313000000000001,8.1675
BU03634802,4.159000000000001,8.1675
BU03634803,4.313,7.335
BU03634805,4.445,7.335
BU03634900,6.33425,8.9005
BU03634901,6.2226,8.4175
BU03634902,5.271222222222223,8.1675
BU03634903,5.476555555555556,8.1675
BU03634904,5.853000000000001,8.1675
BU03634905,5.271222222222223,7.890000000000001
BU03635100,2.7725,6.445666666666667
BU03635101,2.77245,5.112333333333333
BU03635102,2.46425,4.668
BU03635200,4.415666666666667,7.890000000000001
BU03635201,4.1898,7.72325
BU03635202,4.2514,7.335
BU03635203,4.6209999999999996,7.335
BU03635206,4.005,7.5565
BU03635207,3.7996666666666665,6.83475
BU03635300,4.357,6.83475
BU03635301,4.005,7.335
BU03635400,3.851,7.5565
BU03635401,4.313000000000001,6.83475
BU03635402,4.3746,8.1339
BU03635403,3.697,7.335
BU03635501,3.697,7.08425
BU03635502,3.389,6.445666666666667
BU03635503,4.621,6.83475
BU03635505,4.621,6.668
BU03635506,3.9169285714285715,6.4679
BU03635507,4.268928571428572,7.4679
BU03635508,3.388833333333333,6.83475
BU03635600,4.313,7.5565
BU03635601,4.3746,6.83475
BU03635602,4.073388888888889,6.810928571428572
BU03635603,3.697,6.3345
BU03635605,3.1834166666666666,5.001166666666667
BU03635607,3.08075,5.6675
BU03635700,3.3888999999999996,7.084875
BU03635807,3.389,6.3345
BU03635900,3.594208333333333,7.042875
BU03635901,6.777,10.0
BU03636000,3.003625,6.371666666666666
BU03636001,2.9146923076923077,6.778833333333334
BU03636002,2.7725,6.723166666666667
BU03636100,2.7724999999999995,6.445666666666667
BU03636101,2.66975,5.5568333333333335
BU03636102,3.476785714285714,7.001
BU03636103,4.877583333333333,9.0
BU03636200,3.6351,6.408555555555555
BU03636201,3.8406000000000002,7.63415
BU03636300,3.4915,7.762714285714286
BU03636400,3.90225,7.501125
BU03636401,4.621,7.5565
BU03636402,4.518222222222223,7.917375
BU03636403,5.622,8.445
BU03636500,2.46425,4.334300000000001
BU03636501,2.904571428571429,6.367825000000001
BU03636502,2.4026,5.072535714285714
BU03636503,2.3615,4.5568333333333335
BU03636601,3.9207272727272726,5.5566666666666675
BU03636602,2.9093333333333335,4.3343750000000005
BU03636603,3.6351,4.905785714285715
BU03636605,2.4643,4.001
BU03636606,2.46425,5.0011
BU03636700,4.620863636363636,7.597236842105263
BU03636701,2.2588333333333335,4.66775
BU03636800,1.9506666666666668,3.6675
BU03636801,2.2331250000000002,4.3345
BU03636802,2.6844285714285716,4.5566666666666675
BU03636803,2.2331250000000002,4.16775
BU03636804,2.0020000000000002,3.9343000000000004
BU03636805,3.024545454545454,5.834458333333334
BU03636900,2.7724999999999995,5.7346
BU03636902,2.2588333333333335,4.001
BU03636909,2.2588333333333335,4.3345
BU03636910,2.0020000000000002,4.001
BU03636911,1.925,4.001
BU03636912,2.244214285714286,4.3345
BU03637000,2.1560833333333336,5.084625
BU03637001,2.772357142857143,5.516363636363637
BU03637002,1.925,4.66775
BU03637003,2.0945,4.501250000000001
BU03637004,2.46425,5.3345
BU03637005,2.7724999999999995,6.084625
BU03637200,2.46425,6.83475
BU03637201,3.389,8.1675
BU03637301,4.3746,8.0009
BU03637303,5.314,8.1675
BU03637305,5.237,7.5565
BU03637402,2.0020000000000002,4.501250000000001
BU03637500,3.851,8.1675
BU03637501,3.697,7.335
BU03637502,3.5428749999999996,6.83475
BU03637503,4.005,6.83475
BU03637600,2.4985555555555554,5.182863636363637
BU03637601,2.38725,5.3345
BU03637700,2.4643,4.867900000000001
BU03637701,2.376214285714286,4.867900000000001
BU03637702,2.1561,4.001
BU03637703,2.0020000000000002,3.6675000000000004
BU03637705,2.2588333333333335,4.8011
BU03637800,2.5259,4.927055555555556
BU03637801,2.46425,4.867900000000001
BU03637802,2.46425,4.001
BU03637803,2.3871875,4.260388888888889
BU03637804,2.156,4.112166666666667
BU03637901,2.0533333333333332,4.001
BU03638100,2.0533333333333332,3.8898333333333333
BU03638101,2.7724999999999995,4.001
BU03638102,2.0020000000000002,4.001
BU03638103,2.2794,4.16775
BU03638104,2.492318181818182,4.9405
BU03638200,2.0020000000000002,4.112166666666667
BU03638201,2.0020000000000002,4.001
BU03638202,2.0020000000000002,4.112166666666667
BU03638203,2.0328000000000004,4.16775
BU03638300,1.9506666666666668,4.3345
BU03638400,2.7211666666666665,4.556666666666667
BU03638401,2.4642857142857144,4.112166666666667
